City_ID,City,Country,Date,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Phichit,TH,2021-03-15 08:11:35,2021-03-15 08:11:35,16.25,100.4167,100.0,39,80,5.68
53,Cape Town,ZA,2021-03-15 08:10:44,2021-03-15 08:10:44,-33.9258,18.4232,68.0,94,90,14.97
54,Puerto Escondido,MX,2021-03-15 08:11:35,2021-03-15 08:11:35,15.85,-97.0667,75.2,81,0,5.14
55,Luba,GQ,2021-03-15 08:11:35,2021-03-15 08:11:35,3.4568,8.5547,81.41,74,100,3.36
56,Kapaa,US,2021-03-15 08:11:35,2021-03-15 08:11:35,22.0752,-159.319,68.0,94,20,4.61
57,Upernavik,GL,2021-03-15 08:11:35,2021-03-15 08:11:35,72.7868,-56.1549,-9.15,99,98,7.63
58,Winnemucca,US,2021-03-15 08:11:35,2021-03-15 08:11:35,40.973,-117.7357,35.6,48,75,4.61
59,Saint-Philippe,RE,2021-03-15 08:11:36,2021-03-15 08:11:36,-21.3585,55.7679,82.4,74,0,25.32
60,Cidreira,BR,2021-03-15 08:11:36,2021-03-15 08:11:36,-30.1811,-50.2056,71.64,86,19,4.72
61,Cabo San Lucas,MX,2021-03-15 08:07:14,2021-03-15 08:07:14,22.8909,-109.9124,57.99,50,2,1.99
62,Zeya,RU,2021-03-15 08:06:59,2021-03-15 08:06:59,53.75,127.2667,23.2,84,100,20.27
63,Hilo,US,2021-03-15 08:11:36,2021-03-15 08:11:36,19.7297,-155.09,71.6,83,90,4.52
64,Barrow,US,2021-03-15 08:11:36,2021-03-15 08:11:36,71.2906,-156.7887,-4.0,77,90,16.11
65,Katsuura,JP,2021-03-15 08:11:36,2021-03-15 08:11:36,35.1333,140.3,66.2,39,0,14.97
66,Ulagan,RU,2021-03-15 08:11:36,2021-03-15 08:11:36,50.6321,87.9563,29.77,63,100,1.21
67,Sao Filipe,CV,2021-03-15 08:07:53,2021-03-15 08:07:53,14.8961,-24.4956,69.46,73,0,6.13
68,Ahipara,NZ,2021-03-15 08:11:37,2021-03-15 08:11:37,-35.1667,173.1667,65.34,88,75,3.11
69,Vila,PT,2021-03-15 08:11:37,2021-03-15 08:11:37,42.0304,-8.1588,43.0,91,22,3.51
70,Atuona,PF,2021-03-15 08:11:37,2021-03-15 08:11:37,-9.8,-139.0333,80.15,71,3,10.09
71,Wanning,CN,2021-03-15 08:11:37,2021-03-15 08:11:37,18.8003,110.3967,77.49,74,62,7.9
72,Buin,CL,2021-03-15 08:11:37,2021-03-15 08:11:37,-33.7333,-70.75,63.0,88,90,8.05
73,Yellowknife,CA,2021-03-15 08:07:52,2021-03-15 08:07:52,62.456,-114.3525,3.0,78,90,10.36
74,Okhotsk,RU,2021-03-15 08:11:37,2021-03-15 08:11:37,59.3833,143.3,15.03,95,100,8.19
75,Deputatskiy,RU,2021-03-15 08:11:38,2021-03-15 08:11:38,69.3,139.9,-4.58,84,100,2.64
76,Castro,BR,2021-03-15 08:07:18,2021-03-15 08:07:18,-24.7911,-50.0119,61.5,92,1,2.42
77,Thompson,CA,2021-03-15 08:11:38,2021-03-15 08:11:38,55.7435,-97.8558,26.6,50,40,8.05
78,Victoria,HK,2021-03-15 08:10:31,2021-03-15 08:10:31,22.2855,114.1577,75.99,68,10,1.99
79,Kumylzhenskaya,RU,2021-03-15 08:11:38,2021-03-15 08:11:38,49.8809,42.5898,34.0,81,100,13.0
80,Lompoc,US,2021-03-15 08:11:38,2021-03-15 08:11:38,34.6391,-120.4579,50.0,87,90,6.91
81,Paamiut,GL,2021-03-15 08:11:39,2021-03-15 08:11:39,61.994,-49.6678,29.19,67,100,17.25
82,Ilulissat,GL,2021-03-15 08:11:39,2021-03-15 08:11:39,69.2167,-51.1,10.4,61,56,9.22
83,Butaritari,KI,2021-03-15 08:11:39,2021-03-15 08:11:39,3.0707,172.7902,79.47,84,100,14.58
84,Lebu,CL,2021-03-15 08:11:39,2021-03-15 08:11:39,-37.6167,-73.65,53.67,94,23,3.13
85,Perelyub,RU,2021-03-15 08:11:39,2021-03-15 08:11:39,51.8667,50.3667,14.2,83,17,12.26
86,Albany,US,2021-03-15 08:11:39,2021-03-15 08:11:39,42.6001,-73.9662,18.0,35,33,3.0
87,Ancud,CL,2021-03-15 08:07:19,2021-03-15 08:07:19,-41.8697,-73.8203,53.01,93,90,3.44
88,Sao Gabriel Da Cachoeira,BR,2021-03-15 08:07:18,2021-03-15 08:07:18,-0.1303,-67.0892,72.73,92,92,1.63
89,Klaksvik,FO,2021-03-15 08:11:40,2021-03-15 08:11:40,62.2266,-6.589,33.8,93,100,3.83
90,Miranda,CO,2021-03-15 08:07:54,2021-03-15 08:07:54,3.2499,-76.2281,68.0,94,90,8.05
91,Praya,CV,2021-03-15 08:11:41,2021-03-15 08:11:41,14.9215,-23.5087,66.2,39,0,4.61
92,Lodja,CD,2021-03-15 08:11:41,2021-03-15 08:11:41,-3.4833,23.4333,77.7,90,89,3.09
93,Pevek,RU,2021-03-15 08:11:41,2021-03-15 08:11:41,69.7008,170.3133,-8.27,97,100,15.21
94,Chengde,CN,2021-03-15 08:07:15,2021-03-15 08:07:15,40.9725,117.9361,47.34,11,0,20.83
95,Lao Cai,VN,2021-03-15 08:11:12,2021-03-15 08:11:12,22.4833,103.95,86.81,55,22,4.92
96,Ladario,BR,2021-03-15 08:07:30,2021-03-15 08:07:30,-19.0047,-57.6017,72.81,93,92,0.43
97,Namatanai,PG,2021-03-15 08:11:42,2021-03-15 08:11:42,-3.6667,152.4333,81.48,72,28,6.64
98,Pochutla,MX,2021-03-15 08:11:42,2021-03-15 08:11:42,15.7432,-96.4661,75.0,86,0,3.0
99,Bethel,US,2021-03-15 08:11:42,2021-03-15 08:11:42,41.3712,-73.414,21.0,47,0,15.28
100,Vilyuysk,RU,2021-03-15 08:11:43,2021-03-15 08:11:43,63.7553,121.6247,0.28,88,100,9.35
101,Kruisfontein,ZA,2021-03-15 08:11:43,2021-03-15 08:11:43,-34.0033,24.7314,75.15,70,90,12.46
102,Buchanan,LR,2021-03-15 08:11:43,2021-03-15 08:11:43,5.8808,-10.0467,75.2,94,75,2.93
103,Egvekinot,RU,2021-03-15 08:11:43,2021-03-15 08:11:43,66.3167,-179.1667,-1.5,99,100,2.37
104,Tooele,US,2021-03-15 08:11:43,2021-03-15 08:11:43,40.5308,-112.2983,43.0,65,1,14.97
105,Falun,SE,2021-03-15 08:06:59,2021-03-15 08:06:59,60.6036,15.626,32.0,93,90,6.91
